match_id,fase,grupo,data_oficial_fifa,horario_et,data_brasilia,horario_brasilia,time_casa,time_fora,confronto,chaveamento,estadio,fonte_calendario,fonte_horario
11,Fase de grupos,F,2026-06-14,16:00,2026-06-14,17:00,Países Baixos,Japão,Países Baixos x Japão,Países Baixos x Japão,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
12,Fase de grupos,F,2026-06-14,22:00,2026-06-14,23:00,Suécia,Tunísia,Suécia x Tunísia,Suécia x Tunísia,Estadio Monterrey,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
13,Fase de grupos,H,2026-06-15,18:00,2026-06-15,19:00,Arábia Saudita,Uruguai,Arábia Saudita x Uruguai,Arábia Saudita x Uruguai,Miami Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
14,Fase de grupos,H,2026-06-15,12:00,2026-06-15,13:00,Espanha,Cabo Verde,Espanha x Cabo Verde,Espanha x Cabo Verde,Atlanta Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
15,Fase de grupos,G,2026-06-15,21:00,2026-06-15,22:00,Irã,Nova Zelândia,Irã x Nova Zelândia,Irã x Nova Zelândia,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
16,Fase de grupos,G,2026-06-15,15:00,2026-06-15,16:00,Bélgica,Egito,Bélgica x Egito,Bélgica x Egito,Seattle Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
17,Fase de grupos,I,2026-06-16,15:00,2026-06-16,16:00,França,Senegal,França x Senegal,França x Senegal,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
18,Fase de grupos,I,2026-06-16,18:00,2026-06-16,19:00,Iraque,Noruega,Iraque x Noruega,Iraque x Noruega,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
19,Fase de grupos,J,2026-06-16,21:00,2026-06-16,22:00,Argentina,Argélia,Argentina x Argélia,Argentina x Argélia,Kansas City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
20,Fase de grupos,J,2026-06-16,00:00,2026-06-17,01:00,Áustria,Jordânia,Áustria x Jordânia,Áustria x Jordânia,San Francisco Bay Area Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
21,Fase de grupos,L,2026-06-17,19:00,2026-06-17,20:00,Gana,Panamá,Gana x Panamá,Gana x Panamá,Toronto Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
22,Fase de grupos,L,2026-06-17,16:00,2026-06-17,17:00,Inglaterra,Croácia,Inglaterra x Croácia,Inglaterra x Croácia,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
23,Fase de grupos,K,2026-06-17,13:00,2026-06-17,14:00,Portugal,Congo DR,Portugal x Congo DR,Portugal x Congo DR,Houston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
24,Fase de grupos,K,2026-06-17,22:00,2026-06-17,23:00,Uzbequistão,Colômbia,Uzbequistão x Colômbia,Uzbequistão x Colômbia,Mexico City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
25,Fase de grupos,A,2026-06-18,12:00,2026-06-18,13:00,Tchéquia,África do Sul,Tchéquia x África do Sul,Tchéquia x África do Sul,Atlanta Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
26,Fase de grupos,B,2026-06-18,15:00,2026-06-18,16:00,Suíça,Bósnia e Herzegovina,Suíça x Bósnia e Herzegovina,Suíça x Bósnia e Herzegovina,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
27,Fase de grupos,B,2026-06-18,18:00,2026-06-18,19:00,Canadá,Catar,Canadá x Catar,Canadá x Catar,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
28,Fase de grupos,A,2026-06-18,21:00,2026-06-18,22:00,México,Coreia do Sul,México x Coreia do Sul,México x Coreia do Sul,Estadio Guadalajara,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
29,Fase de grupos,C,2026-06-19,20:30,2026-06-19,21:30,Brasil,Haiti,Brasil x Haiti,Brasil x Haiti,Philadelphia Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
30,Fase de grupos,C,2026-06-19,18:00,2026-06-19,19:00,Escócia,Marrocos,Escócia x Marrocos,Escócia x Marrocos,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
31,Fase de grupos,D,2026-06-19,23:00,2026-06-20,00:00,Turquia,Paraguai,Turquia x Paraguai,Turquia x Paraguai,San Francisco Bay Area Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
32,Fase de grupos,D,2026-06-19,15:00,2026-06-19,16:00,Estados Unidos,Austrália,Estados Unidos x Austrália,Estados Unidos x Austrália,Seattle Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
33,Fase de grupos,E,2026-06-20,16:00,2026-06-20,17:00,Alemanha,Costa do Marfim,Alemanha x Costa do Marfim,Alemanha x Costa do Marfim,Toronto Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
34,Fase de grupos,E,2026-06-20,20:00,2026-06-20,21:00,Equador,Curaçao,Equador x Curaçao,Equador x Curaçao,Kansas City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
35,Fase de grupos,F,2026-06-20,13:00,2026-06-20,14:00,Países Baixos,Suécia,Países Baixos x Suécia,Países Baixos x Suécia,Houston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
36,Fase de grupos,F,2026-06-20,00:00,2026-06-21,01:00,Tunísia,Japão,Tunísia x Japão,Tunísia x Japão,Estadio Monterrey,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
37,Fase de grupos,H,2026-06-21,18:00,2026-06-21,19:00,Uruguai,Cabo Verde,Uruguai x Cabo Verde,Uruguai x Cabo Verde,Miami Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
38,Fase de grupos,H,2026-06-21,12:00,2026-06-21,13:00,Espanha,Arábia Saudita,Espanha x Arábia Saudita,Espanha x Arábia Saudita,Atlanta Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
39,Fase de grupos,G,2026-06-21,15:00,2026-06-21,16:00,Bélgica,Irã,Bélgica x Irã,Bélgica x Irã,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
40,Fase de grupos,G,2026-06-21,21:00,2026-06-21,22:00,Nova Zelândia,Egito,Nova Zelândia x Egito,Nova Zelândia x Egito,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
41,Fase de grupos,I,2026-06-22,20:00,2026-06-22,21:00,Noruega,Senegal,Noruega x Senegal,Noruega x Senegal,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
42,Fase de grupos,I,2026-06-22,17:00,2026-06-22,18:00,França,Iraque,França x Iraque,França x Iraque,Philadelphia Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
43,Fase de grupos,J,2026-06-22,13:00,2026-06-22,14:00,Argentina,Áustria,Argentina x Áustria,Argentina x Áustria,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
44,Fase de grupos,J,2026-06-22,23:00,2026-06-23,00:00,Jordânia,Argélia,Jordânia x Argélia,Jordânia x Argélia,San Francisco Bay Area Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
45,Fase de grupos,L,2026-06-23,16:00,2026-06-23,17:00,Inglaterra,Gana,Inglaterra x Gana,Inglaterra x Gana,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
46,Fase de grupos,L,2026-06-23,19:00,2026-06-23,20:00,Panamá,Croácia,Panamá x Croácia,Panamá x Croácia,Toronto Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
47,Fase de grupos,K,2026-06-23,13:00,2026-06-23,14:00,Portugal,Uzbequistão,Portugal x Uzbequistão,Portugal x Uzbequistão,Houston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
48,Fase de grupos,K,2026-06-23,22:00,2026-06-23,23:00,Colômbia,Congo DR,Colômbia x Congo DR,Colômbia x Congo DR,Estadio Guadalajara,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
49,Fase de grupos,C,2026-06-24,18:00,2026-06-24,19:00,Escócia,Brasil,Escócia x Brasil,Escócia x Brasil,Miami Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
50,Fase de grupos,C,2026-06-24,18:00,2026-06-24,19:00,Marrocos,Haiti,Marrocos x Haiti,Marrocos x Haiti,Atlanta Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
51,Fase de grupos,B,2026-06-24,15:00,2026-06-24,16:00,Suíça,Canadá,Suíça x Canadá,Suíça x Canadá,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
52,Fase de grupos,B,2026-06-24,15:00,2026-06-24,16:00,Bósnia e Herzegovina,Catar,Bósnia e Herzegovina x Catar,Bósnia e Herzegovina x Catar,Seattle Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
53,Fase de grupos,A,2026-06-24,21:00,2026-06-24,22:00,Tchéquia,México,Tchéquia x México,Tchéquia x México,Mexico City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
54,Fase de grupos,A,2026-06-24,21:00,2026-06-24,22:00,África do Sul,Coreia do Sul,África do Sul x Coreia do Sul,África do Sul x Coreia do Sul,Estadio Monterrey,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
55,Fase de grupos,E,2026-06-25,16:00,2026-06-25,17:00,Curaçao,Costa do Marfim,Curaçao x Costa do Marfim,Curaçao x Costa do Marfim,Philadelphia Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
56,Fase de grupos,E,2026-06-25,16:00,2026-06-25,17:00,Equador,Alemanha,Equador x Alemanha,Equador x Alemanha,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
57,Fase de grupos,F,2026-06-25,19:00,2026-06-25,20:00,Japão,Suécia,Japão x Suécia,Japão x Suécia,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
58,Fase de grupos,F,2026-06-25,19:00,2026-06-25,20:00,Tunísia,Países Baixos,Tunísia x Países Baixos,Tunísia x Países Baixos,Kansas City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
59,Fase de grupos,D,2026-06-25,22:00,2026-06-25,23:00,Turquia,Estados Unidos,Turquia x Estados Unidos,Turquia x Estados Unidos,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
60,Fase de grupos,D,2026-06-25,22:00,2026-06-25,23:00,Paraguai,Austrália,Paraguai x Austrália,Paraguai x Austrália,San Francisco Bay Area Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
61,Fase de grupos,I,2026-06-26,15:00,2026-06-26,16:00,Noruega,França,Noruega x França,Noruega x França,Boston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
62,Fase de grupos,I,2026-06-26,15:00,2026-06-26,16:00,Senegal,Iraque,Senegal x Iraque,Senegal x Iraque,Toronto Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
63,Fase de grupos,G,2026-06-26,23:00,2026-06-27,00:00,Egito,Irã,Egito x Irã,Egito x Irã,Seattle Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
64,Fase de grupos,G,2026-06-26,23:00,2026-06-27,00:00,Nova Zelândia,Bélgica,Nova Zelândia x Bélgica,Nova Zelândia x Bélgica,BC Place Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
65,Fase de grupos,H,2026-06-26,20:00,2026-06-26,21:00,Cabo Verde,Arábia Saudita,Cabo Verde x Arábia Saudita,Cabo Verde x Arábia Saudita,Houston Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
66,Fase de grupos,H,2026-06-26,20:00,2026-06-26,21:00,Uruguai,Espanha,Uruguai x Espanha,Uruguai x Espanha,Estadio Guadalajara,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
67,Fase de grupos,L,2026-06-27,17:00,2026-06-27,18:00,Panamá,Inglaterra,Panamá x Inglaterra,Panamá x Inglaterra,New York New Jersey Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
68,Fase de grupos,L,2026-06-27,17:00,2026-06-27,18:00,Croácia,Gana,Croácia x Gana,Croácia x Gana,Philadelphia Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
69,Fase de grupos,J,2026-06-27,22:00,2026-06-27,23:00,Argélia,Áustria,Argélia x Áustria,Argélia x Áustria,Kansas City Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
70,Fase de grupos,J,2026-06-27,22:00,2026-06-27,23:00,Jordânia,Argentina,Jordânia x Argentina,Jordânia x Argentina,Dallas Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
71,Fase de grupos,K,2026-06-27,19:30,2026-06-27,20:30,Colômbia,Portugal,Colômbia x Portugal,Colômbia x Portugal,Miami Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
72,Fase de grupos,K,2026-06-27,19:30,2026-06-27,20:30,Congo DR,Uzbequistão,Congo DR x Uzbequistão,Congo DR x Uzbequistão,Atlanta Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
73,16 avos de final,,2026-06-28,15:00,2026-06-28,16:00,2A,2B,2A x 2B,2A x 2B,Los Angeles Stadium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf
